id,value,location,count,type,title
767,1963,V009,11,parole,La giornata di uno scrutatore
768,1963,V009,14,sintagmi,La giornata di uno scrutatore
769,1969,V016,4,frasi,Il castello dei destini incrociati
770,1969,V016,4,misto,Il castello dei destini incrociati
771,1969,V016,12,parole,Il castello dei destini incrociati
772,1969,V016,5,sintagmi,Il castello dei destini incrociati
773,1972,V018,26,frasi,Le città invisibili
774,1972,V018,23,misto,Le città invisibili
775,1972,V018,40,parole,Le città invisibili
776,1972,V018,35,sintagmi,Le città invisibili
777,1979,V021,69,frasi,Se una notte d'inverno un viaggiatore
778,1979,V021,12,misto,Se una notte d'inverno un viaggiatore
779,1979,V021,41,parole,Se una notte d'inverno un viaggiatore
780,1979,V021,44,sintagmi,Se una notte d'inverno un viaggiatore
